Datetime,Open,High,Low,Close,Volume
2013-02-28,19.95271,20.099413,19.95097,19.9552,90971711
2013-02-27,19.7958,20.043621,19.7039,19.91984,81347773
2013-02-26,19.80078,19.82444,19.53677,19.67949,88430220
2013-02-25,19.9826,20.13478,19.68845,19.69543,92501423
2013-02-22,19.90688,19.95645,19.77089,19.91809,82463941
2013-02-21,19.8755,20.061056,19.70663,19.81398,140781714
2013-02-20,20.05732,20.14873,19.72083,19.73752,110982436
2013-02-19,19.82544,20.099663,19.80776,20.095926,117711564
2013-02-15,19.61149,19.75744,19.60327,19.74823,109601278
2013-02-14,19.42046,19.64487,19.37164,19.62195,69672173
2013-02-13,19.43042,19.56043,19.42644,19.49841,48107646
2013-02-12,19.47077,19.62395,19.41149,19.44462,74638720
2013-02-11,19.38733,19.5019,19.27152,19.48746,87037018
2013-02-08,19.43042,19.59331,19.41622,19.56093,121256803
2013-02-07,19.17064,19.39754,19.066036,19.2765,114033831
2013-02-06,18.90589,19.25184,18.89169,19.18235,83435569
2013-02-05,18.95719,19.20576,18.91585,19.072014,75108474
2013-02-04,19.12058,19.18982,18.88596,18.90464,122075862
2013-02-01,18.88422,19.3425,18.88173,19.31759,150405652
2013-01-31,18.69268,18.86977,18.68621,18.8217,65613015
2013-01-30,18.77313,18.95271,18.75246,18.77538,69579828
2013-01-29,18.59904,18.85308,18.59381,18.77164,70145942
2013-01-28,18.72382,18.81946,18.62743,18.69817,65327951
2013-01-25,18.69916,18.89119,18.68621,18.77139,89369729
2013-01-24,18.4618,18.8501,18.44362,18.78484,135815168
2013-01-23,18.33104,18.65508,18.32606,18.46828,237249950
2013-01-22,17.55072,17.56765,17.32307,17.50613,152264594
2013-01-18,17.69268,17.75271,17.46778,17.54698,129555794
2013-01-17,17.87575,17.92382,17.70912,17.71659,88791570
2013-01-16,17.99256,18.040878,17.77512,17.81298,81239368
2013-01-15,17.9161,18.30638,17.73602,18.055573,157696879
2013-01-14,18.3562,18.48571,17.99131,18.013729,114985384
2013-01-11,18.48073,18.49144,18.33876,18.43067,51600690
2013-01-10,18.5014,18.55545,18.26902,18.46778,73703226
2013-01-09,18.23839,18.38982,18.14698,18.38409,81291563
2013-01-08,18.31983,18.33876,18.043119,18.26404,67295297
2013-01-07,18.31759,18.41547,18.1963,18.30016,66476239
2013-01-04,18.16541,18.46753,18.12407,18.38036,110954331
2013-01-03,18.055573,18.22992,17.95072,18.024191,93075567
2013-01-02,17.91834,18.10713,17.84686,18.013729,102033017
2012-12-31,17.43465,17.69791,17.33502,17.61846,80195470
2012-12-28,17.47674,17.60676,17.4349,17.4349,56290202
2012-12-27,17.61248,17.65483,17.40003,17.59131,66142994
2012-12-26,17.63565,17.75545,17.49468,17.65557,47473277
2012-12-24,17.79605,17.81273,17.6207,17.67126,33762076
2012-12-21,17.7826,17.90339,17.69667,17.82394,141568653
2012-12-20,18.013979,18.048599,17.85732,17.99156,66528434
2012-12-19,17.95047,18.0075035,17.85009,17.93552,77031655
2012-12-18,17.8481,18.15943,17.8095,17.95943,120646524
2012-12-17,17.57164,17.9806,17.53477,17.95221,121871097
2012-12-14,17.41398,17.62942,17.39555,17.48347,85523366
2012-12-13,17.83116,17.84486,17.42344,17.5019,138312493
2012-12-12,17.41547,17.52207,17.27226,17.37388,97403730
2012-12-11,17.18558,17.48247,17.1288,17.35694,107906951
2012-12-10,17.070765,17.22668,17.030914,17.071512,54872909
2012-12-07,17.31012,17.35694,16.99679,17.041374,77059760
2012-12-06,17.12556,17.32531,17.048847,17.21373,58711242
2012-12-05,17.23913,17.29766,16.99455,17.13129,74775229
2012-12-04,17.31012,17.32282,17.078485,17.21124,79966615
2012-12-03,17.49044,17.58135,17.28795,17.31634,88028721
2012-11-30,17.21821,17.41522,17.078238,17.39405,127018318
2012-11-29,17.13029,17.28272,16.98633,17.23266,111476280
2012-11-28,16.63789,17.058809,16.53527,17.027925,122136087
2012-11-27,16.44262,16.81199,16.38857,16.70514,100724129
2012-11-26,16.59878,16.61273,16.41398,16.46703,88514535
2012-11-23,16.6867,16.68745,16.59031,16.63689,37038310
2012-11-21,16.6623,16.68247,16.44835,16.58459,84804682
2012-11-20,16.67525,16.8867,16.55221,16.6867,83861158
2012-11-19,16.33129,16.66055,16.32705,16.64287,95083064
2012-11-16,16.089443,16.26454,15.84062,16.11908,138043489
2012-11-15,16.18932,16.43839,16.037388,16.12107,74233205
2012-11-14,16.45482,16.49268,16.20177,16.25283,66986143
2012-11-13,16.51311,16.62767,16.3943,16.41472,64007018
2012-11-12,16.53178,16.68247,16.46005,16.58533,56446786
2012-11-09,16.30513,16.64611,16.19679,16.51385,125030896
2012-11-08,16.69243,16.72456,16.21995,16.24636,104269368
2012-11-07,16.81199,16.89243,16.60003,16.61572,89626688
2012-11-06,17.073006,17.098412,16.8755,16.97936,63549309
2012-11-05,17.048597,17.10738,16.82593,17.010241,65681270
2012-11-02,17.30489,17.32382,17.12008,17.13378,93324497
2012-11-01,16.92406,17.208,16.90464,17.12556,82311371
2012-10-31,16.93303,16.96142,16.81199,16.94399,61710442
2012-10-26,16.84934,17.011986,16.71734,16.81572,78324483
2012-10-25,16.93652,16.98633,16.77487,16.88073,96403996
2012-10-24,17.10588,17.11086,16.81871,16.86927,100234300
2012-10-23,16.73751,17.11908,16.73726,16.94523,117101285
2012-10-22,16.96167,17.051836,16.67998,16.90339,162832055
2012-10-19,17.57363,17.60152,16.73726,16.9811,461009524
2012-10-18,18.81797,18.9146,16.83689,17.31012,499561487
2012-10-17,18.5293,18.83789,18.43739,18.81672,92059774
2012-10-16,18.43415,18.60501,18.34275,18.54798,82636586
2012-10-15,18.47923,18.52631,18.19929,18.45532,121216653
2012-10-12,18.72606,18.80128,18.53303,18.54922,96528461
2012-10-11,18.75221,18.89169,18.68721,18.71684,95713418
2012-10-10,18.47724,18.61846,18.38833,18.54449,81901842
2012-10-09,18.92083,18.96193,18.49393,18.53279,120578269
2012-10-08,18.95396,19.018215,18.78334,18.87525,78637653
2012-10-05,19.1958,19.28721,19.053831,19.11959,109846193
2012-10-04,18.99754,19.17538,18.9141,19.12955,98535958
2012-10-03,18.82245,19.026684,18.73478,18.99132,88663090
2012-10-02,19.058563,19.078239,18.68671,18.85408,112026334
2012-10-01,18.90539,19.053581,18.83465,18.97338,127194978
