Datetime,Open,High,Low,Close,Volume
2013-02-28,15.85893,15.99536,15.76429,15.76429,322515200
2013-02-27,16.015356,16.15857,15.7375,15.8775,587350400
2013-02-26,15.85071,16.12643,15.63071,16.034643,501499600
2013-02-25,16.20893,16.25429,15.80607,15.81429,372579200
2013-02-22,16.044643,16.12857,15.95,16.10036,330654800
2013-02-21,15.92857,16.041786,15.815,15.93071,447182400
2013-02-20,16.34607,16.34607,16.02857,16.030357,476302400
2013-02-19,16.46786,16.52607,16.20893,16.42821,435783600
2013-02-15,16.74464,16.79143,16.42571,16.43429,391745200
2013-02-14,16.59,16.84429,16.57214,16.66393,355275200
2013-02-13,16.68607,16.91571,16.54357,16.67893,475207600
2013-02-12,17.12536,17.22786,16.705,16.71071,609053200
2013-02-11,17.017857,17.31929,16.90179,17.14036,517490400
2013-02-08,16.92857,17.10036,16.72321,16.96357,633158400
2013-02-07,16.54464,16.78571,16.21857,16.72214,704580800
2013-02-06,16.3025,16.66071,16.16357,16.33393,593706400
2013-02-05,15.85893,16.41929,15.79357,16.35143,573347600
2013-02-04,16.21107,16.28357,15.78571,15.79714,477117200
2013-02-01,16.39679,16.41,16.012501,16.20071,539484400
2013-01-31,16.32071,16.40286,16.24929,16.2675,319334400
2013-01-30,16.32143,16.52143,16.23214,16.31536,417155200
2013-01-29,16.375,16.43571,16.14714,16.36679,571158000
2013-01-28,15.63679,16.18607,15.56643,16.065357,785517600
2013-01-25,16.13179,16.29393,15.53571,15.71,1208026400
2013-01-24,16.42857,16.63321,16.080357,16.089287,1460852400
2013-01-23,18.17179,18.3925,18.0275,18.3575,861509600
2013-01-22,18.02,18.13857,17.73679,18.0275,461546400
2013-01-18,17.80429,17.93643,17.72857,17.85714,472922800
2013-01-17,18.22536,18.24107,17.92964,17.95286,453678400
2013-01-16,17.66571,18.19429,17.58929,18.074642,690804800
2013-01-15,17.79643,17.82107,17.26357,17.35429,876772400
2013-01-14,17.95286,18.125,17.80393,17.91964,734207600
2013-01-11,18.60714,18.76143,18.53643,18.58214,350506800
2013-01-10,18.87679,18.88286,18.41143,18.69679,601146000
2013-01-09,18.66071,18.75036,18.42821,18.46786,407604400
2013-01-08,18.90036,18.99607,18.61607,18.76107,458707200
2013-01-07,18.64286,18.90357,18.4,18.71071,484156400
2013-01-04,19.1775,19.23679,18.77964,18.82143,594333600
2013-01-03,19.56714,19.63107,19.32143,19.36071,352965200
2013-01-02,19.77929,19.82143,19.34393,19.60821,560518000
2012-12-31,18.23321,19.12143,18.17857,19.0060711,659492400
2012-12-28,18.22464,18.37429,18.14714,18.19964,354278400
2012-12-27,18.34071,18.4375,18.023571,18.395,455120400
2012-12-26,18.53571,18.55214,18.25429,18.32143,302436400
2012-12-24,18.58393,18.72321,18.52536,18.5775,175753200
